"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.69509900000E+009, -3.32808405211E+001, +0.00000000000E+000
+5.73759750000E+009, -3.33945638659E+001, +0.00000000000E+000
+5.78009600000E+009, -3.35397016297E+001, +0.00000000000E+000
+5.82259450000E+009, -3.34967972818E+001, +0.00000000000E+000
+5.86509300000E+009, -3.35198859710E+001, +0.00000000000E+000
+5.90759150000E+009, -3.36472017729E+001, +0.00000000000E+000
+5.95009000000E+009, -3.37874728284E+001, +0.00000000000E+000
+5.99258850000E+009, -3.38753487128E+001, +0.00000000000E+000
+6.03508700000E+009, -3.38967615239E+001, +0.00000000000E+000
+6.07758550000E+009, -3.39883585046E+001, +0.00000000000E+000
+6.12008400000E+009, -3.40077259988E+001, +0.00000000000E+000
+6.16258250000E+009, -3.41271010261E+001, +0.00000000000E+000
+6.20508100000E+009, -3.41729570712E+001, +0.00000000000E+000
+6.24757950000E+009, -3.41716422887E+001, +0.00000000000E+000
+6.29007800000E+009, -3.43752947769E+001, +0.00000000000E+000
+6.33257650000E+009, -3.45338450708E+001, +0.00000000000E+000
+6.37507500000E+009, -3.44535131393E+001, +0.00000000000E+000
+6.41757350000E+009, -3.44976461942E+001, +0.00000000000E+000
+6.46007200000E+009, -3.46181104561E+001, +0.00000000000E+000
+6.50257050000E+009, -3.47418748749E+001, +0.00000000000E+000
+6.54506900000E+009, -3.47923523343E+001, +0.00000000000E+000
+6.58756750000E+009, -3.48742645108E+001, +0.00000000000E+000
+6.63006600000E+009, -3.49825638158E+001, +0.00000000000E+000
+6.67256450000E+009, -3.50009363881E+001, +0.00000000000E+000
+6.71506300000E+009, -3.50766418169E+001, +0.00000000000E+000
+6.75756150000E+009, -3.50827225679E+001, +0.00000000000E+000
+6.80006000000E+009, -3.51606958372E+001, +0.00000000000E+000
+6.84255850000E+009, -3.52297361900E+001, +0.00000000000E+000
+6.88505700000E+009, -3.52564660520E+001, +0.00000000000E+000
+6.92755550000E+009, -3.53338654138E+001, +0.00000000000E+000
+6.97005400000E+009, -3.53642196566E+001, +0.00000000000E+000
+7.01255250000E+009, -3.55408235977E+001, +0.00000000000E+000
+7.05505100000E+009, -3.55648789458E+001, +0.00000000000E+000
+7.09754950000E+009, -3.55569506380E+001, +0.00000000000E+000
+7.14004800000E+009, -3.55470782481E+001, +0.00000000000E+000
+7.18254650000E+009, -3.57298791637E+001, +0.00000000000E+000
+7.22504500000E+009, -3.58418085675E+001, +0.00000000000E+000
+7.26754350000E+009, -3.58547273732E+001, +0.00000000000E+000
+7.31004200000E+009, -3.58426008973E+001, +0.00000000000E+000
+7.35254050000E+009, -3.60361186009E+001, +0.00000000000E+000
+7.39503900000E+009, -3.60448119847E+001, +0.00000000000E+000
+7.43753750000E+009, -3.60800910603E+001, +0.00000000000E+000
+7.48003600000E+009, -3.61787901720E+001, +0.00000000000E+000
+7.52253450000E+009, -3.62500496549E+001, +0.00000000000E+000
+7.56503300000E+009, -3.63156934733E+001, +0.00000000000E+000
+7.60753150000E+009, -3.64384520261E+001, +0.00000000000E+000
+7.65003000000E+009, -3.65082247902E+001, +0.00000000000E+000
+7.69252850000E+009, -3.65832139248E+001, +0.00000000000E+000
+7.73502700000E+009, -3.66166316272E+001, +0.00000000000E+000
+7.77752550000E+009, -3.67571611607E+001, +0.00000000000E+000
+7.82002400000E+009, -3.69459733698E+001, +0.00000000000E+000
+7.86252250000E+009, -3.68254635265E+001, +0.00000000000E+000
+7.90502100000E+009, -3.69670829931E+001, +0.00000000000E+000
+7.94751950000E+009, -3.70859047919E+001, +0.00000000000E+000
+7.99001800000E+009, -3.69782355444E+001, +0.00000000000E+000
+8.03251650000E+009, -3.70993805384E+001, +0.00000000000E+000
+8.07501500000E+009, -3.71539013994E+001, +0.00000000000E+000
+8.11751350000E+009, -3.72879908067E+001, +0.00000000000E+000
+8.16001200000E+009, -3.73800056974E+001, +0.00000000000E+000
+8.20251050000E+009, -3.73395818130E+001, +0.00000000000E+000
+8.24500900000E+009, -3.73389217705E+001, +0.00000000000E+000
+8.28750750000E+009, -3.77875116936E+001, +0.00000000000E+000
+8.33000600000E+009, -3.76596524570E+001, +0.00000000000E+000
+8.37250450000E+009, -3.75273461587E+001, +0.00000000000E+000
+8.41500300000E+009, -3.77538037465E+001, +0.00000000000E+000
+8.45750150000E+009, -3.78602505930E+001, +0.00000000000E+000
+8.50000000000E+009, -3.76895788857E+001, +0.00000000000E+000
