"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.12008400000E+009, -1.92582580668E+000, +0.00000000000E+000
+6.16258250000E+009, -1.93760177879E+000, +0.00000000000E+000
+6.20508100000E+009, -1.84753140424E+000, +0.00000000000E+000
+6.24757950000E+009, -1.89565477357E+000, +0.00000000000E+000
+6.29007800000E+009, -1.99755803056E+000, +0.00000000000E+000
+6.33257650000E+009, -2.04020639582E+000, +0.00000000000E+000
+6.37507500000E+009, -1.92429639184E+000, +0.00000000000E+000
+6.41757350000E+009, -1.91979770925E+000, +0.00000000000E+000
+6.46007200000E+009, -2.09625974371E+000, +0.00000000000E+000
+6.50257050000E+009, -2.00353300324E+000, +0.00000000000E+000
+6.54506900000E+009, -1.99339024977E+000, +0.00000000000E+000
+6.58756750000E+009, -1.98798971721E+000, +0.00000000000E+000
+6.63006600000E+009, -2.14527616727E+000, +0.00000000000E+000
+6.67256450000E+009, -2.01184827729E+000, +0.00000000000E+000
+6.71506300000E+009, -2.00023201285E+000, +0.00000000000E+000
+6.75756150000E+009, -2.01884602526E+000, +0.00000000000E+000
+6.80006000000E+009, -2.05148772243E+000, +0.00000000000E+000
+6.84255850000E+009, -2.10776066534E+000, +0.00000000000E+000
+6.88505700000E+009, -2.05739321350E+000, +0.00000000000E+000
+6.92755550000E+009, -2.07058405950E+000, +0.00000000000E+000
+6.97005400000E+009, -2.14977449354E+000, +0.00000000000E+000
+7.01255250000E+009, -2.05571088187E+000, +0.00000000000E+000
+7.05505100000E+009, -2.13261723261E+000, +0.00000000000E+000
+7.09754950000E+009, -2.06232405425E+000, +0.00000000000E+000
+7.14004800000E+009, -2.09323531825E+000, +0.00000000000E+000
+7.18254650000E+009, -2.02177965543E+000, +0.00000000000E+000
+7.22504500000E+009, -2.12156749578E+000, +0.00000000000E+000
+7.26754350000E+009, -2.14464132433E+000, +0.00000000000E+000
+7.31004200000E+009, -2.17283529802E+000, +0.00000000000E+000
+7.35254050000E+009, -2.12820002753E+000, +0.00000000000E+000
+7.39503900000E+009, -2.16507784191E+000, +0.00000000000E+000
+7.43753750000E+009, -2.16744201645E+000, +0.00000000000E+000
+7.48003600000E+009, -2.15513804571E+000, +0.00000000000E+000
+7.52253450000E+009, -2.18446942776E+000, +0.00000000000E+000
+7.56503300000E+009, -2.22636241408E+000, +0.00000000000E+000
+7.60753150000E+009, -2.18397698309E+000, +0.00000000000E+000
+7.65003000000E+009, -2.30652310859E+000, +0.00000000000E+000
+7.69252850000E+009, -2.26936275075E+000, +0.00000000000E+000
+7.73502700000E+009, -2.23210397063E+000, +0.00000000000E+000
+7.77752550000E+009, -2.36814970093E+000, +0.00000000000E+000
+7.82002400000E+009, -2.40703047074E+000, +0.00000000000E+000
+7.86252250000E+009, -2.28141813077E+000, +0.00000000000E+000
+7.90502100000E+009, -2.27768640642E+000, +0.00000000000E+000
+7.94751950000E+009, -2.44435675319E+000, +0.00000000000E+000
+7.99001800000E+009, -2.31068139893E+000, +0.00000000000E+000
+8.03251650000E+009, -2.32305718507E+000, +0.00000000000E+000
+8.07501500000E+009, -2.37953852571E+000, +0.00000000000E+000
+8.11751350000E+009, -2.41017570384E+000, +0.00000000000E+000
+8.16001200000E+009, -2.54736081740E+000, +0.00000000000E+000
+8.20251050000E+009, -2.51635446723E+000, +0.00000000000E+000
+8.24500900000E+009, -2.48001458680E+000, +0.00000000000E+000
+8.28750750000E+009, -2.63351070134E+000, +0.00000000000E+000
+8.33000600000E+009, -2.83057168061E+000, +0.00000000000E+000
+8.37250450000E+009, -2.52569464388E+000, +0.00000000000E+000
+8.41500300000E+009, -2.46748545411E+000, +0.00000000000E+000
+8.45750150000E+009, -2.74284568241E+000, +0.00000000000E+000
+8.50000000000E+009, -2.69062886286E+000, +0.00000000000E+000
