"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.73759750000E+009, -2.48630554610E+000, +0.00000000000E+000
+5.78009600000E+009, -2.49344452942E+000, +0.00000000000E+000
+5.82259450000E+009, -2.59050510747E+000, +0.00000000000E+000
+5.86509300000E+009, -2.47568329331E+000, +0.00000000000E+000
+5.90759150000E+009, -2.46811281488E+000, +0.00000000000E+000
+5.95009000000E+009, -2.72926101190E+000, +0.00000000000E+000
+5.99258850000E+009, -2.65896937416E+000, +0.00000000000E+000
+6.03508700000E+009, -2.51356424592E+000, +0.00000000000E+000
+6.07758550000E+009, -2.66330095299E+000, +0.00000000000E+000
+6.12008400000E+009, -2.71486169711E+000, +0.00000000000E+000
+6.16258250000E+009, -2.61236881291E+000, +0.00000000000E+000
+6.20508100000E+009, -2.55439006604E+000, +0.00000000000E+000
+6.24757950000E+009, -2.61694760775E+000, +0.00000000000E+000
+6.29007800000E+009, -2.71278888859E+000, +0.00000000000E+000
+6.33257650000E+009, -2.68063660365E+000, +0.00000000000E+000
+6.37507500000E+009, -2.65259642250E+000, +0.00000000000E+000
+6.41757350000E+009, -2.84724913243E+000, +0.00000000000E+000
+6.46007200000E+009, -2.71357374495E+000, +0.00000000000E+000
+6.50257050000E+009, -2.69047563743E+000, +0.00000000000E+000
+6.54506900000E+009, -3.04336879504E+000, +0.00000000000E+000
+6.58756750000E+009, -2.81700941577E+000, +0.00000000000E+000
+6.63006600000E+009, -2.83946428362E+000, +0.00000000000E+000
+6.67256450000E+009, -3.07149065937E+000, +0.00000000000E+000
+6.71506300000E+009, -3.06802846755E+000, +0.00000000000E+000
+6.75756150000E+009, -2.87276806457E+000, +0.00000000000E+000
+6.80006000000E+009, -2.88466171898E+000, +0.00000000000E+000
+6.84255850000E+009, -3.21088340819E+000, +0.00000000000E+000
+6.88505700000E+009, -2.99695663304E+000, +0.00000000000E+000
+6.92755550000E+009, -2.78567121866E+000, +0.00000000000E+000
+6.97005400000E+009, -3.07882881388E+000, +0.00000000000E+000
+7.01255250000E+009, -3.02559111972E+000, +0.00000000000E+000
+7.05505100000E+009, -2.91894394444E+000, +0.00000000000E+000
+7.09754950000E+009, -2.91684900513E+000, +0.00000000000E+000
+7.14004800000E+009, -3.01318970343E+000, +0.00000000000E+000
+7.18254650000E+009, -2.97674084642E+000, +0.00000000000E+000
+7.22504500000E+009, -2.96623175808E+000, +0.00000000000E+000
+7.26754350000E+009, -3.00931659465E+000, +0.00000000000E+000
+7.31004200000E+009, -2.94693241048E+000, +0.00000000000E+000
+7.35254050000E+009, -3.04614742242E+000, +0.00000000000E+000
+7.39503900000E+009, -3.00756053759E+000, +0.00000000000E+000
+7.43753750000E+009, -3.08040583998E+000, +0.00000000000E+000
+7.48003600000E+009, -3.03570908350E+000, +0.00000000000E+000
+7.52253450000E+009, -3.12535702226E+000, +0.00000000000E+000
+7.56503300000E+009, -3.19426474844E+000, +0.00000000000E+000
+7.60753150000E+009, -3.28114565336E+000, +0.00000000000E+000
+7.65003000000E+009, -3.30715023981E+000, +0.00000000000E+000
+7.69252850000E+009, -3.21881985824E+000, +0.00000000000E+000
+7.73502700000E+009, -3.40527728035E+000, +0.00000000000E+000
+7.77752550000E+009, -3.56169075368E+000, +0.00000000000E+000
+7.82002400000E+009, -3.20577375255E+000, +0.00000000000E+000
+7.86252250000E+009, -3.34635909315E+000, +0.00000000000E+000
+7.90502100000E+009, -3.48483049724E+000, +0.00000000000E+000
+7.94751950000E+009, -3.26679719331E+000, +0.00000000000E+000
+7.99001800000E+009, -3.28473750029E+000, +0.00000000000E+000
+8.03251650000E+009, -3.34354063655E+000, +0.00000000000E+000
+8.07501500000E+009, -3.38140865153E+000, +0.00000000000E+000
+8.11751350000E+009, -3.27981628319E+000, +0.00000000000E+000
+8.16001200000E+009, -3.29283603535E+000, +0.00000000000E+000
+8.20251050000E+009, -3.44105265901E+000, +0.00000000000E+000
+8.24500900000E+009, -3.35777085883E+000, +0.00000000000E+000
+8.28750750000E+009, -3.48328756516E+000, +0.00000000000E+000
+8.33000600000E+009, -3.54341518478E+000, +0.00000000000E+000
+8.37250450000E+009, -3.48207403584E+000, +0.00000000000E+000
+8.41500300000E+009, -3.43579178102E+000, +0.00000000000E+000
+8.45750150000E+009, -3.54688050970E+000, +0.00000000000E+000
+8.50000000000E+009, -3.71980765228E+000, +0.00000000000E+000
