"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.35511100000E+009, -2.89467663264E+000, +0.00000000000E+000
+5.39760950000E+009, -2.95069406023E+000, +0.00000000000E+000
+5.44010800000E+009, -3.10914452410E+000, +0.00000000000E+000
+5.48260650000E+009, -3.27121198889E+000, +0.00000000000E+000
+5.52510500000E+009, -3.38160638665E+000, +0.00000000000E+000
+5.56760350000E+009, -3.49836775643E+000, +0.00000000000E+000
+5.61010200000E+009, -3.80605893694E+000, +0.00000000000E+000
+5.65260050000E+009, -4.17825540111E+000, +0.00000000000E+000
+5.69509900000E+009, -4.46543786802E+000, +0.00000000000E+000
+5.73759750000E+009, -4.52649586646E+000, +0.00000000000E+000
+5.78009600000E+009, -5.15779525357E+000, +0.00000000000E+000
+5.82259450000E+009, -5.71146200967E+000, +0.00000000000E+000
+5.86509300000E+009, -5.61256459608E+000, +0.00000000000E+000
+5.90759150000E+009, -6.28734668538E+000, +0.00000000000E+000
+5.95009000000E+009, -6.66921576411E+000, +0.00000000000E+000
+5.99258850000E+009, -6.87302821371E+000, +0.00000000000E+000
+6.03508700000E+009, -6.67632472126E+000, +0.00000000000E+000
+6.07758550000E+009, -6.79301977693E+000, +0.00000000000E+000
+6.12008400000E+009, -7.37575766633E+000, +0.00000000000E+000
+6.16258250000E+009, -7.23192119812E+000, +0.00000000000E+000
+6.20508100000E+009, -7.27367903918E+000, +0.00000000000E+000
+6.24757950000E+009, -7.83851886701E+000, +0.00000000000E+000
+6.29007800000E+009, -7.79439081351E+000, +0.00000000000E+000
+6.33257650000E+009, -7.79465901129E+000, +0.00000000000E+000
+6.37507500000E+009, -7.64600606089E+000, +0.00000000000E+000
+6.41757350000E+009, -7.08934476603E+000, +0.00000000000E+000
+6.46007200000E+009, -6.87518827226E+000, +0.00000000000E+000
+6.50257050000E+009, -6.42432110859E+000, +0.00000000000E+000
+6.54506900000E+009, -5.72907963461E+000, +0.00000000000E+000
+6.58756750000E+009, -5.27352763583E+000, +0.00000000000E+000
+6.63006600000E+009, -5.18167887891E+000, +0.00000000000E+000
+6.67256450000E+009, -4.70551087350E+000, +0.00000000000E+000
+6.71506300000E+009, -4.39742096192E+000, +0.00000000000E+000
+6.75756150000E+009, -4.29125927522E+000, +0.00000000000E+000
+6.80006000000E+009, -4.32704118704E+000, +0.00000000000E+000
+6.84255850000E+009, -4.00055608795E+000, +0.00000000000E+000
+6.88505700000E+009, -3.93387832569E+000, +0.00000000000E+000
+6.92755550000E+009, -4.25240303421E+000, +0.00000000000E+000
+6.97005400000E+009, -3.83402401863E+000, +0.00000000000E+000
+7.01255250000E+009, -3.90221488955E+000, +0.00000000000E+000
+7.05505100000E+009, -4.10303252736E+000, +0.00000000000E+000
+7.09754950000E+009, -3.74649971008E+000, +0.00000000000E+000
+7.14004800000E+009, -3.75693709902E+000, +0.00000000000E+000
+7.18254650000E+009, -3.71161436912E+000, +0.00000000000E+000
+7.22504500000E+009, -3.74964245790E+000, +0.00000000000E+000
+7.26754350000E+009, -3.72127917048E+000, +0.00000000000E+000
